#query	target	e-value	identity (%)	score
YAL001C				
YAR009C	Paxin1_52884	3e-23	24%	103
YAR009C	Paxin1_52879	1e-21	31%	94.7
YAR009C	Paxin1_52825	2e-20	28%	92.4
YAR009C	Paxin1_48658	2e-11	31%	63.2
YAR010C				
YAR014C				
YAR015W				
YAR018C	Paxin1_131361	4e-69	33%	231
YAR018C	Paxin1_132525	3e-28	29%	116
YAR018C	Paxin1_126405	1e-22	27%	99.8
YAR018C	Paxin1_89625	2e-22	27%	95.9
YAR018C	Paxin1_161966	2e-20	25%	93.6
YAR019C	Paxin1_165722	2e-57	42%	214
YAR019C	Paxin1_161966	6e-55	44%	207
YAR019C	Paxin1_89625	2e-54	42%	191
YAR019C	Paxin1_126405	5e-48	39%	182
YAR019C	Paxin1_161583	9e-41	37%	151
YAR019W-A				
YAR020C				
YAR023C				
YAR027W				
YAR028W				
YAR029W				
YAR030C				
YAR031W				
YAR033W				
YAR035C-A				
YAR035W	Paxin1_81785	2e-179	42%	528
YAR035W	Paxin1_161989	2e-63	28%	221
YAR035W	Paxin1_174316	4e-47	26%	176
YAR035W	Paxin1_170522	8e-46	27%	173
YAR042W	Paxin1_114163	5e-105	35%	357
YAR042W	Paxin1_165033	6e-48	32%	182
YAR042W	Paxin1_164455	2e-19	31%	90.9
YAR047C				
YAR050W				
YAR053W				
YAR060C				
YAR061W				
YAR062W				
YAR064W				
YAR066W				
YAR068W				
YAR069C				
YAR070C				
YAR071W	Paxin1_102759	1e-29	26%	120
YAR071W	Paxin1_165223	8e-27	25%	112
YAR071W	Paxin1_170615	7e-26	25%	108
YAR071W	Paxin1_168380	1e-25	24%	108
YAR071W	Paxin1_170613	5e-25	24%	105
YAR073W	Paxin1_170956	1e-159	60%	459
YAR073W	Paxin1_169297	1e-136	54%	400
YAR073W	Paxin1_77865	5e-86	58%	262
YAR075W	Paxin1_169297	1e-65	60%	207
YAR075W	Paxin1_170956	2e-64	60%	204
YBL001C	Paxin1_85956	2e-16	32%	67.8
YBL002W	Paxin1_119023	1e-54	88%	167
YBL002W	Paxin1_168223	2e-54	84%	166
YBL002W	Paxin1_177368	2e-54	76%	166
YBL002W	Paxin1_162358	1e-49	80%	154
YBL003C	Paxin1_140776	1e-65	76%	194
YBL003C	Paxin1_139683	1e-65	76%	194
YBL003C	Paxin1_119053	1e-64	79%	192
YBL003C	Paxin1_171855	1e-58	73%	176
YBL003C	Paxin1_170244	3e-39	58%	128
YBL004W	Paxin1_100613	2e-122	30%	433
YBL004W	Paxin1_181718	3e-45	28%	173
YBL005W				
YBL005W-A				
YBL005W-B	Paxin1_52879	9e-23	32%	98.2
YBL005W-B	Paxin1_52825	1e-21	30%	97.1
YBL005W-B	Paxin1_52884	1e-21	24%	99.0
YBL005W-B	Paxin1_48658	2e-12	32%	66.2
YBL006C				
YBL006W-A				
YBL007C	Paxin1_96466	5e-26	42%	115
YBL008W	Paxin1_169722	5e-95	30%	317
YBL008W	Paxin1_132381	4e-22	29%	101
YBL008W	Paxin1_25559	2e-17	24%	84.7
YBL008W	Paxin1_61024	1e-16	28%	82.4
YBL008W	Paxin1_47022	3e-15	25%	78.2
YBL008W-A				
YBL009W				
YBL010C				
YBL011W	Paxin1_168062	5e-139	43%	426
YBL011W	Paxin1_167112	6e-14	27%	74.3
YBL012C				
YBL013W	Paxin1_114498	2e-21	25%	94.7
YBL014C				
YBL015W				
YBL016W	Paxin1_168917	9e-154	57%	436
YBL016W	Paxin1_172848	4e-147	57%	419
YBL016W	Paxin1_162910	3e-142	58%	406
YBL016W	Paxin1_162977	2e-115	50%	341
YBL016W	Paxin1_66834	1e-97	44%	295
YBL017C	Paxin1_165913	8e-163	29%	531
YBL018C				
YBL019W	Paxin1_15067	3e-27	29%	114
YBL020W	Paxin1_175774	2e-54	28%	193
YBL021C	Paxin1_124994	2e-47	65%	149
YBL021C	Paxin1_126257	5e-12	32%	58.9
YBL022C	Paxin1_172058	0.0	51%	946
YBL022C	Paxin1_161683	2e-102	38%	344
YBL023C	Paxin1_109366	0.0	59%	919
YBL023C	Paxin1_123446	4e-98	34%	322
YBL023C	Paxin1_170560	8e-93	30%	313
YBL023C	Paxin1_85941	4e-90	36%	301
YBL023C	Paxin1_113603	1e-87	36%	298
YBL024W	Paxin1_163340	8e-153	38%	459
YBL024W	Paxin1_168277	3e-27	28%	116
YBL025W				
YBL026W	Paxin1_161299	1e-37	61%	121
YBL027W	Paxin1_63933	7e-63	63%	192
YBL028C				
YBL029C-A				
YBL029W				
YBL030C	Paxin1_65359	6e-159	72%	445
YBL030C	Paxin1_175450	5e-130	65%	372
YBL030C	Paxin1_166807	2e-29	27%	114
YBL030C	Paxin1_170717	2e-22	28%	94.4
YBL030C	Paxin1_165325	9e-21	27%	91.7
YBL031W				
YBL032W	Paxin1_165096	6e-23	26%	97.4
YBL032W	Paxin1_172124	1e-18	25%	85.9
YBL033C	Paxin1_52657	4e-70	43%	224
YBL034C	Paxin1_96244	2e-12	25%	71.2
YBL035C	Paxin1_9860	3e-37	28%	146
YBL036C	Paxin1_100722	1e-54	43%	176
YBL037W	Paxin1_173808	2e-80	26%	281
YBL037W	Paxin1_6462	2e-24	24%	108
YBL038W	Paxin1_77935	9e-48	45%	155
YBL039C	Paxin1_169705	0.0	60%	758
YBL039C-A				
YBL039W-B				
YBL040C	Paxin1_169014	8e-79	55%	234
YBL041W	Paxin1_169378	7e-86	57%	254
YBL042C	Paxin1_114363	2e-141	42%	421
YBL042C	Paxin1_179500	6e-92	34%	293
YBL042C	Paxin1_121110	1e-63	28%	216
YBL042C	Paxin1_90669	6e-21	29%	89.7
YBL042C	Paxin1_121160	2e-15	28%	74.3
YBL043W				
YBL044W				
YBL045C	Paxin1_166565	3e-78	35%	250
YBL046W				
YBL047C	Paxin1_73420	9e-45	32%	176
YBL047C	Paxin1_101608	2e-35	27%	143
YBL047C	Paxin1_177094	9e-14	35%	75.9
YBL047C	Paxin1_172093	3e-12	38%	70.5
YBL048W				
YBL049W	Paxin1_63280	3e-26	51%	94.4
YBL049W	Paxin1_167148	9e-21	40%	80.5
YBL050W	Paxin1_165182	2e-46	35%	157
YBL051C	Paxin1_167887	5e-34	55%	135
YBL052C	Paxin1_176822	2e-71	39%	256
YBL052C	Paxin1_128509	3e-69	38%	238
YBL052C	Paxin1_5455	8e-53	46%	191
YBL053W				
YBL054W				
YBL055C	Paxin1_63752	6e-50	35%	170
YBL056W	Paxin1_161902	1e-83	45%	269
YBL056W	Paxin1_70913	4e-19	40%	88.2
YBL057C	Paxin1_164529	9e-27	53%	97.8
YBL058W	Paxin1_69405	2e-38	33%	139
YBL059C-A	Paxin1_162216	3e-14	39%	61.6
YBL059W				
YBL060W				
YBL061C	Paxin1_165464	9e-74	38%	246
YBL061C	Paxin1_73269	3e-63	36%	214
YBL061C	Paxin1_168877	3e-24	26%	107
YBL062W				
YBL063W	Paxin1_112407	9e-130	40%	424
YBL063W	Paxin1_168086	4e-69	40%	249
YBL063W	Paxin1_166017	1e-56	35%	214
YBL063W	Paxin1_166165	1e-53	32%	203
YBL063W	Paxin1_73078	5e-50	30%	190
YBL064C	Paxin1_68402	5e-77	53%	231
YBL064C	Paxin1_60750	2e-12	39%	60.8
YBL065W				
YBL066C				
YBL067C	Paxin1_64269	2e-70	43%	246
YBL067C	Paxin1_168292	2e-21	31%	98.6
YBL067C	Paxin1_175990	7e-21	27%	97.4
YBL067C	Paxin1_7624	2e-19	26%	92.0
YBL067C	Paxin1_6781	2e-17	26%	86.3
YBL068W	Paxin1_165159	2e-132	59%	378
YBL068W-A				
YBL069W				
YBL070C				
YBL071C				
YBL071C-B				
YBL071W-A	Paxin1_77898	3e-18	53%	72.0
YBL072C	Paxin1_166933	2e-97	67%	281
YBL073W				
YBL074C				
YBL075C	Paxin1_162475	0.0	80%	994
YBL075C	Paxin1_167442	0.0	61%	771
YBL075C	Paxin1_73182	0.0	64%	766
YBL075C	Paxin1_169045	0.0	53%	582
YBL075C	Paxin1_120135	4e-93	57%	288
YBL076C	Paxin1_161330	0.0	59%	1329
YBL076C	Paxin1_166622	3e-42	23%	166
YBL076C	Paxin1_100059	2e-29	27%	119
YBL077W				
YBL078C	Paxin1_172955	2e-64	77%	190
YBL079W	Paxin1_159840	6e-45	23%	177
YBL080C	Paxin1_170551	1e-73	33%	242
YBL081W				
YBL082C	Paxin1_113037	1e-72	35%	234
YBL083C				
YBL084C	Paxin1_168102	2e-60	30%	217
YBL084C	Paxin1_167296	9e-27	29%	114
YBL085W	Paxin1_161035	1e-15	32%	81.3
YBL086C				
YBL087C	Paxin1_164086	6e-71	72%	208
YBL088C	Paxin1_125515	8e-94	33%	340
YBL088C	Paxin1_174826	4e-56	27%	216
YBL088C	Paxin1_160370	1e-37	30%	155
YBL089W	Paxin1_165754	2e-56	33%	192
YBL090W				
YBL091C	Paxin1_165312	1e-143	58%	415
YBL091C-A				
YBL092W	Paxin1_165118	6e-57	67%	172
YBL093C				
YBL094C				
YBL095W	Paxin1_168884	4e-19	38%	84.0
YBL096C				
YBL097W	Paxin1_160288	1e-44	48%	171
YBL098W	Paxin1_98611	1e-110	41%	335
YBL099W	Paxin1_6540	0.0	76%	807
YBL099W	Paxin1_167766	5e-25	27%	107
YBL099W	Paxin1_85924	6e-21	24%	95.1
YBL099W	Paxin1_167989	4e-13	27%	71.2
YBL100C				
YBL100W-A				
YBL100W-B	Paxin1_52884	5e-21	23%	97.1
YBL100W-B	Paxin1_52879	2e-19	30%	89.0
YBL100W-B	Paxin1_52825	2e-18	25%	87.0
YBL100W-C				
YBL101C				
YBL102W	Paxin1_71646	7e-34	34%	119
YBL103C				
YBL104C	Paxin1_167099	5e-66	27%	241
YBL105C	Paxin1_167852	3e-145	62%	465
YBL105C	Paxin1_171043	3e-77	40%	264
YBL105C	Paxin1_167709	8e-74	42%	254
YBL105C	Paxin1_160628	3e-69	37%	245
YBL105C	Paxin1_169011	6e-60	37%	210
YBL106C				
YBL107C				
YBL107W-A				
YBL108C-A				
YBL108W				
YBL109W				
YBL111C				
YBL112C				
YBL113C				
YBL113W-A				
YBR001C	Paxin1_170537	0.0	53%	711
YBR001C	Paxin1_33997	8e-21	25%	96.3
YBR002C	Paxin1_97865	2e-61	43%	196
YBR003W	Paxin1_31651	7e-80	43%	251
YBR004C	Paxin1_168227	2e-20	26%	91.7
YBR005W				
YBR006W	Paxin1_96663	4e-178	53%	509
YBR006W	Paxin1_166296	6e-96	38%	298
YBR006W	Paxin1_76843	4e-89	34%	280
YBR006W	Paxin1_182543	1e-85	33%	272
YBR006W	Paxin1_67347	1e-68	30%	227
YBR007C	Paxin1_64575	3e-15	29%	76.6
YBR008C	Paxin1_100489	5e-85	35%	272
YBR008C	Paxin1_135671	3e-80	32%	259
YBR008C	Paxin1_65705	6e-62	32%	211
YBR008C	Paxin1_171249	9e-62	33%	210
YBR008C	Paxin1_102271	7e-59	27%	203
YBR009C	Paxin1_124931	2e-58	91%	174
YBR009C	Paxin1_69037	3e-51	93%	155
YBR009C	Paxin1_165519	3e-51	93%	155
YBR009C	Paxin1_165313	3e-51	93%	155
YBR010W	Paxin1_165522	2e-82	88%	237
YBR010W	Paxin1_167602	5e-78	88%	226
YBR010W	Paxin1_167870	1e-76	82%	223
YBR010W	Paxin1_170155	1e-76	87%	223
YBR010W	Paxin1_141337	4e-62	89%	184
YBR011C	Paxin1_160017	6e-142	66%	401
YBR012C				
YBR012W-A				
YBR012W-B	Paxin1_52879	3e-22	32%	96.7
YBR012W-B	Paxin1_52825	1e-20	33%	94.0
YBR012W-B	Paxin1_52884	2e-20	24%	95.5
YBR012W-B	Paxin1_48658	2e-12	33%	66.2
YBR013C				
YBR014C	Paxin1_70849	1e-17	39%	74.7
YBR014C	Paxin1_14715	1e-12	39%	61.6
YBR015C				
YBR016W				
YBR017C	Paxin1_155568	3e-102	31%	340
YBR018C	Paxin1_98282	6e-108	43%	320
YBR019C	Paxin1_160129	5e-89	43%	300
YBR019C	Paxin1_7120	7e-13	25%	70.1
YBR020W	Paxin1_170777	4e-62	33%	212
YBR021W	Paxin1_114363	7e-146	45%	432
YBR021W	Paxin1_179500	4e-93	33%	296
YBR021W	Paxin1_121110	2e-72	31%	239
YBR021W	Paxin1_90669	2e-19	28%	85.1
YBR021W	Paxin1_121160	1e-16	31%	77.4
YBR022W				
YBR023C	Paxin1_135631	0.0	47%	1001
YBR023C	Paxin1_166895	0.0	54%	580
YBR023C	Paxin1_168607	5e-142	44%	471
YBR023C	Paxin1_85189	3e-130	45%	437
YBR023C	Paxin1_167130	3e-128	42%	432
YBR024W	Paxin1_19573	1e-61	43%	195
YBR024W	Paxin1_162899	6e-39	43%	134
YBR025C	Paxin1_171504	3e-163	58%	462
YBR026C	Paxin1_175380	2e-57	33%	191
YBR027C				
YBR028C	Paxin1_171043	1e-62	33%	213
YBR028C	Paxin1_167709	5e-54	35%	190
YBR028C	Paxin1_169011	3e-52	34%	181
YBR028C	Paxin1_166209	9e-52	33%	182
YBR028C	Paxin1_175743	1e-50	33%	176
YBR029C	Paxin1_173456	3e-111	39%	339
YBR030W				
YBR031W	Paxin1_171484	7e-158	68%	447
YBR032W				
YBR033W				
YBR034C	Paxin1_167164	6e-130	58%	374
YBR034C	Paxin1_17605	2e-79	39%	253
YBR035C	Paxin1_167746	2e-50	47%	163
YBR036C				
YBR037C	Paxin1_19573	1e-70	48%	218
YBR037C	Paxin1_162899	5e-40	45%	136
YBR038W	Paxin1_78231	0.0	47%	692
YBR038W	Paxin1_71436	0.0	46%	627
YBR038W	Paxin1_88796	0.0	46%	620
YBR038W	Paxin1_160827	0.0	40%	550
YBR038W	Paxin1_141284	2e-46	50%	164
YBR039W	Paxin1_113558	7e-62	50%	195
YBR039W	Paxin1_141109	2e-33	44%	119
YBR040W				
YBR041W				
YBR042C	Paxin1_165039	5e-58	35%	194
YBR043C	Paxin1_119245	1e-29	29%	122
YBR043C	Paxin1_139014	2e-29	30%	121
YBR043C	Paxin1_105941	5e-28	32%	117
YBR043C	Paxin1_85372	8e-28	32%	117
YBR043C	Paxin1_130359	1e-18	28%	88.6
YBR044C				
YBR045C				
YBR046C	Paxin1_165455	6e-73	40%	228
YBR046C	Paxin1_167810	7e-28	30%	110
YBR046C	Paxin1_161556	6e-20	29%	87.8
YBR046C	Paxin1_9198	3e-18	27%	83.2
YBR047W				
YBR048W	Paxin1_165166	2e-72	69%	213
YBR049C	Paxin1_67607	1e-22	33%	99.8
YBR050C				
YBR051W				
YBR052C	Paxin1_180712	1e-63	48%	195
YBR052C	Paxin1_155709	3e-58	43%	183
YBR053C				
YBR054W				
YBR055C	Paxin1_103096	2e-77	27%	267
YBR055C	Paxin1_28282	8e-52	32%	191
YBR055C	Paxin1_181390	4e-17	29%	83.6
YBR056C-B				
YBR056W	Paxin1_171666	1e-53	30%	188
YBR056W	Paxin1_154780	8e-20	32%	88.2
YBR056W-A				
YBR057C				
YBR058C	Paxin1_162851	2e-118	30%	376
YBR058C-A				
YBR059C	Paxin1_105693	3e-70	42%	256
YBR059C	Paxin1_170488	2e-17	37%	85.5
YBR059C	Paxin1_172127	6e-16	23%	82.0
YBR059C	Paxin1_156431	3e-15	23%	80.1
YBR059C	Paxin1_161583	6e-14	28%	73.2
YBR060C	Paxin1_71618	6e-27	25%	112
YBR061C	Paxin1_104975	2e-45	44%	163
YBR062C				
YBR063C				
YBR064W				
YBR065C	Paxin1_10631	7e-15	38%	73.6
YBR066C	Paxin1_138172	1e-18	59%	82.8
YBR066C	Paxin1_86770	2e-11	48%	58.5
YBR067C				
YBR068C	Paxin1_165046	5e-95	33%	300
YBR068C	Paxin1_81447	8e-82	33%	266
YBR068C	Paxin1_6905	3e-81	32%	265
YBR068C	Paxin1_6870	8e-80	29%	262
YBR068C	Paxin1_66349	9e-80	32%	260
YBR069C	Paxin1_165046	2e-92	34%	294
YBR069C	Paxin1_6905	4e-81	33%	265
YBR069C	Paxin1_66349	2e-80	34%	263
YBR069C	Paxin1_6870	2e-79	33%	261
YBR069C	Paxin1_66437	3e-77	34%	254
YBR070C	Paxin1_71182	2e-18	33%	80.1
YBR071W				
YBR072C-A				
YBR072W				
YBR073W	Paxin1_175064	4e-162	38%	503
YBR073W	Paxin1_175980	6e-122	37%	390
YBR073W	Paxin1_110641	5e-65	29%	233
YBR073W	Paxin1_164904	5e-55	31%	207
YBR073W	Paxin1_130724	2e-54	32%	205
YBR074W	Paxin1_176502	6e-62	35%	226
YBR074W	Paxin1_165939	9e-14	29%	74.7
YBR076C-A				
YBR076W				
YBR077C				
YBR078W				
YBR079C	Paxin1_153368	2e-111	30%	367
YBR080C	Paxin1_127442	0.0	46%	650
YBR080C	Paxin1_165843	1e-43	32%	168
YBR080C	Paxin1_155829	8e-41	37%	159
YBR080C	Paxin1_175808	1e-37	35%	150
YBR080C	Paxin1_167990	2e-37	35%	145
YBR081C	Paxin1_169074	4e-17	37%	86.3
YBR082C	Paxin1_164151	5e-92	83%	262
YBR082C	Paxin1_136815	8e-52	52%	160
YBR082C	Paxin1_168830	9e-49	50%	152
YBR082C	Paxin1_74933	1e-42	46%	137
YBR082C	Paxin1_170199	5e-37	40%	124
YBR083W				
YBR084C-A	Paxin1_63933	7e-63	63%	192
YBR084W	Paxin1_168079	0.0	55%	1018
YBR085C-A				
YBR085W	Paxin1_65359	2e-156	73%	438
YBR085W	Paxin1_175450	1e-126	63%	363
YBR085W	Paxin1_166807	3e-30	27%	115
YBR085W	Paxin1_170717	8e-24	27%	98.2
YBR085W	Paxin1_165325	2e-23	29%	99.4
YBR086C	Paxin1_156720	2e-28	22%	121
YBR087W	Paxin1_128226	8e-112	48%	328
YBR087W	Paxin1_73781	5e-33	33%	125
YBR087W	Paxin1_106730	3e-29	32%	114
YBR087W	Paxin1_95553	3e-20	29%	89.4
YBR088C	Paxin1_109109	4e-56	44%	181
YBR089C-A	Paxin1_9240	1e-20	52%	78.6
YBR089C-A	Paxin1_166022	2e-14	41%	65.5
YBR089W				
YBR090C				
YBR091C	Paxin1_159557	3e-13	42%	59.7
YBR092C	Paxin1_170613	2e-29	27%	118
YBR092C	Paxin1_165223	8e-27	26%	112
YBR092C	Paxin1_168380	3e-24	26%	103
YBR092C	Paxin1_170615	4e-24	25%	103
YBR092C	Paxin1_102759	2e-23	24%	102
YBR093C	Paxin1_170613	7e-30	27%	120
YBR093C	Paxin1_165223	3e-28	27%	116
YBR093C	Paxin1_170615	1e-27	25%	114
YBR093C	Paxin1_168380	1e-25	24%	107
YBR093C	Paxin1_102759	2e-25	24%	108
YBR094W	Paxin1_120120	2e-59	35%	206
YBR094W	Paxin1_64501	8e-42	34%	154
YBR095C				
YBR096W				
YBR097W	Paxin1_132235	9e-141	33%	471
YBR098W				
YBR099C				
YBR101C	Paxin1_167380	1e-24	32%	100
YBR102C				
YBR103C-A				
YBR103W	Paxin1_165294	2e-35	24%	138
YBR103W	Paxin1_47022	2e-15	27%	78.2
YBR103W	Paxin1_84670	7e-15	25%	76.3
YBR103W	Paxin1_44421	1e-14	27%	72.4
YBR103W	Paxin1_25559	1e-14	26%	75.1
YBR104W	Paxin1_90326	6e-54	41%	176
YBR104W	Paxin1_120324	1e-42	42%	145
YBR104W	Paxin1_168848	3e-42	32%	147
YBR104W	Paxin1_120432	2e-39	31%	140
YBR104W	Paxin1_87058	4e-32	32%	120
YBR105C	Paxin1_168349	1e-21	34%	94.7
YBR106W	Paxin1_171750	2e-50	43%	160
YBR107C				
YBR108W				
YBR109C	Paxin1_168760	1e-61	59%	185
YBR109C	Paxin1_171033	7e-32	39%	109
YBR109C	Paxin1_172292	2e-28	40%	101
YBR109C	Paxin1_165284	4e-23	31%	89.4
YBR109W-A				
YBR110W	Paxin1_104446	6e-80	35%	256
YBR111C	Paxin1_73847	1e-26	34%	100
YBR111W-A				
YBR112C	Paxin1_104349	1e-144	58%	460
YBR112C	Paxin1_51006	4e-37	60%	134
YBR112C	Paxin1_82220	2e-25	61%	100
YBR112C	Paxin1_20479	2e-24	64%	98.2
YBR112C	Paxin1_104042	2e-17	75%	83.6
YBR113W				
YBR114W	Paxin1_68178	0.0	57%	777
YBR114W	Paxin1_10741	1e-66	29%	233
YBR114W	Paxin1_64144	3e-58	28%	214
YBR114W	Paxin1_173096	3e-55	33%	205
YBR114W	Paxin1_21084	1e-41	32%	161
YBR115C	Paxin1_163299	0.0	47%	945
YBR115C	Paxin1_89947	3e-55	47%	191
YBR115C	Paxin1_82693	3e-53	26%	203
YBR115C	Paxin1_113799	1e-45	24%	179
YBR115C	Paxin1_99027	2e-31	25%	133
YBR116C				
YBR117C	Paxin1_10178	0.0	56%	798
YBR118W	Paxin1_65274	0.0	86%	816
YBR118W	Paxin1_67099	3e-88	37%	278
YBR118W	Paxin1_160566	1e-82	34%	259
YBR118W	Paxin1_165106	1e-42	30%	155
YBR119W				
YBR120C				
YBR121C	Paxin1_76688	0.0	56%	733
YBR121C-A				
YBR122C				
YBR123C				
YBR124W				
YBR125C	Paxin1_161902	3e-51	33%	180
YBR125C	Paxin1_70913	4e-14	33%	72.4
YBR126C	Paxin1_169863	0.0	61%	648
YBR126C	Paxin1_169578	1e-98	36%	317
YBR126C	Paxin1_19140	1e-83	38%	268
YBR126W-A				
YBR126W-B				
YBR127C	Paxin1_167766	0.0	82%	850
YBR127C	Paxin1_6540	5e-27	29%	113
YBR127C	Paxin1_85924	7e-27	26%	113
YBR127C	Paxin1_167989	7e-20	28%	92.0
YBR128C				
YBR129C				
YBR130C				
YBR131C-A				
YBR131W				
YBR132C	Paxin1_165046	1e-95	30%	301
YBR132C	Paxin1_168793	5e-95	35%	300
YBR132C	Paxin1_6905	1e-91	34%	291
YBR132C	Paxin1_6870	4e-87	32%	280
YBR132C	Paxin1_103654	1e-80	31%	263
YBR133C	Paxin1_117778	2e-87	33%	293
YBR134W				
YBR135W	Paxin1_61732	6e-42	64%	134
